# Run   Event    |  MJD     |   RA    Dec   | 50%    90% | E_Muon   E_Nu   |  Sig. | Selection | Overlap
# --- 2011 (13 bronze events / 5 gold events) ---
118178  17334444 |  58528.7 |  136.9   -1.9 |  0.5   1.3 |     157     187 |   51% |  Gold     |
118309  46569873 |  55722.4 |  272.9   35.7 |  0.3   0.9 |     253     294 |   75% |  Gold     |  Diffuse
118342  24578488 |  55728.7 |   71.2    5.3 |  0.2   0.5 |      78     109 |   26% |  Bronze   |
118475  52691508 |  55768.5 |  151.6    6.9 |  0.2   0.5 |     120     160 |   40% |  Bronze   |
118539  54350726 |  55781.0 |  336.6    1.4 |  0.3   0.6 |      77     108 |   27% |  Bronze   |
118576  45696357 |  55791.7 |  332.5   -2.8 |  0.2   0.5 |      94     123 |   34% |  Bronze   |
118631  36844560 |  55806.1 |    9.7    7.7 |  0.2   0.5 |     215     243 |   61% |  Gold     |
118660  61529737 |  55811.8 |  196.6    9.2 |  0.2   0.5 |     156     186 |   51% |  Gold     |
118738    995844 |  55833.3 |  121.5   50.1 |  0.2   0.5 |     118     158 |   52% |  Bronze   |
118741  43101116 |  55834.4 |  267.5   -4.4 |  0.2   0.5 |     121     160 |   43% |  Bronze   |  EHE
118778  61465314 |  55846.9 |  175.5   45.0 |  0.2   0.5 |      88     115 |   43% |  Bronze   |
118973  22324184 |  55886.0 |   26.2   10.3 |  0.3   0.9 |     120     159 |   42% |  Bronze   |
118973  25391094 |  55886.0 |  356.6  -12.9 |  0.2   0.5 |   4,912   4,969 |   29% |  Bronze   |
119097  49522606 |  55903.7 |  168.5   41.0 |  0.6   1.5 |      93     123 |   45% |  Bronze   |
119101  32538906 |  55904.5 |  100.4   19.9 |  0.3   0.7 |      77     108 |   34% |  Bronze   |
119125  14422170 |  55908.4 |  247.7    0.8 |  0.3   0.7 |     126     164 |   41% |  Bronze   |
119136  66932419 |  55911.3 |   36.8   18.5 |  0.5   1.3 |     794     891 |   95% |  Gold     |  Diffuse
119146  28561103 |  55913.3 |   27.7    8.2 |  0.5   1.3 |     117     157 |   40% |  Bronze   |
# --- 2012 (9 bronze events / 6 gold events) ---
119739  41603205 |  58528.7 |  238.1   18.9 |  0.2   0.5 |     378     433 |   82% |  Gold     |  EHE
120027  12133428 |  56043.4 |  184.1    0.5 |  0.3   0.7 |      79     109 |   27% |  Bronze   |
120157  59255331 |  56063.0 |  198.8   31.7 |  0.3   0.7 |     167     194 |   61% |  Gold     |  Diffuse
120185  63879322 |  56070.6 |  171.2   26.4 |  0.2   0.5 |     120     160 |   50% |  Bronze   |  EHE
120186   1306178 |  56070.6 |  343.4   15.6 |  0.2   0.6 |     131     168 |   49% |  Bronze   |
120205  73761892 |  56076.5 |  177.7   23.5 |  0.3   0.7 |      95     126 |   42% |  Bronze   |
120244  21476686 |  56079.3 |  119.4   14.9 |  0.2   0.5 |     102     137 |   40% |  Bronze   |
120260  65493286 |  56083.7 |  152.3   36.6 |  0.2   0.5 |      75     107 |   38% |  Bronze   |
120309  20451977 |  56089.4 |   40.6  -15.6 |  0.2   0.5 |   8,571   8,573 |   24% |  Bronze   |
120535  24248640 |  56146.2 |  330.0    1.7 |  0.2   0.5 |     318     373 |   74% |  Gold     |  Diffuse
120680  12284754 |  56186.3 |  182.5    3.8 |  0.3   0.9 |     139     174 |   44% |  Gold     |
120798  20915945 |  56211.8 |  205.3   -2.4 |  0.2   0.5 |     431     481 |   84% |  Gold     |  EHE, Diffuse
120860  64513030 |  56226.6 |  170.2   27.9 |  0.2   0.6 |     850     961 |   93% |  Gold     |  Diffuse
120884  64276946 |  56234.5 |  123.4    5.8 |  0.2   0.5 |      83     112 |   28% |  Bronze   |
120935  29325450 |  56246.3 |  225.6    9.0 |  0.2   0.5 |      89     116 |   32% |  Bronze   |
# --- 2013 (21 bronze events / 4 gold events) ---
121761  41853263 |  58528.7 |    6.4   73.6 |  0.6   1.5 |     127     165 |   53% |  Bronze   |
121762  56963417 |  56317.7 |  279.7   -1.9 |  0.2   0.6 |      86     114 |   31% |  Bronze   |
121769  40349510 |  56319.3 |  353.4   -2.0 |  0.3   0.7 |     207     235 |   61% |  Gold     |
122055   5809789 |  56367.7 |  303.1   54.1 |  0.2   0.5 |      73     105 |   38% |  Bronze   |
122060  56194427 |  56369.3 |   13.6   20.5 |  0.2   0.6 |      73     105 |   32% |  Bronze   |
122154   6905361 |  56390.8 |    6.0    4.2 |  0.7   1.8 |     124     163 |   39% |  Bronze   |
